cell_id	donor_id	cytotoxicity	treg_activation	central_memory	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_000275	donor_020	-0.282796	-0.106182	0.223122	-0.695821	F	2.503189	0.01288	0.002528	0.009939	-0.025289	0.035816	0.01421	-0.733171	-0.554282	-0.175837	-0.052461	-0.997928
cell_000276	donor_020	0.616814	-0.999712	-1.041588	-0.695821	F	2.45548	0.0255	0.002528	0.009939	-0.025289	0.035816	0.01421	-1.479736	0.049942	-3.530409	-0.100657	-0.944748
cell_000277	donor_021	1.104679	-0.412337	-1.416842	0.19311	M	1.774176	0.01615	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.780155	1.047635	1.071246	-0.346447	-1.135144
cell_000278	donor_021	0.443813	0.463370	-1.530715	0.19311	M	1.404496	0.03195	-0.00576	-0.018709	0.021543	-0.022035	0.045227	-0.814592	0.287611	-1.645864	1.393549	-0.33063
cell_000279	donor_021	0.229482	0.735583	0.374386	0.19311	M	1.473114	0.0362	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.500174	-1.781426	-0.925982	-1.905679	1.021189
cell_000280	donor_021	0.631981	-1.404269	0.331040	0.19311	M	1.87531	0.02318	-0.00576	-0.018709	0.021543	-0.022035	0.045227	-0.160205	0.571305	0.063414	0.468475	-0.337442
cell_000281	donor_021	-0.302620	-0.482790	0.870556	0.19311	M	2.584927	0.00091	-0.00576	-0.018709	0.021543	-0.022035	0.045227	-0.203546	-0.091732	0.405632	0.432118	2.811437
cell_000282	donor_021	1.479275	1.794370	1.314808	0.19311	M	1.708622	0.07264	-0.00576	-0.018709	0.021543	-0.022035	0.045227	1.681602	-1.778759	-0.143105	-0.405896	1.28013
cell_000283	donor_021	-0.109734	0.352720	0.766823	0.19311	M	1.761469	0.03475	-0.00576	-0.018709	0.021543	-0.022035	0.045227	-0.315748	0.464289	-2.337062	-1.513601	2.092293
cell_000284	donor_021	0.121178	0.130764	0.823753	0.19311	M	1.753236	0.03913	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.050244	-0.99846	0.242871	-1.053059	-0.283374
cell_000285	donor_021	-0.059283	-0.729287	-0.414473	0.19311	M	1.787308	0.02155	-0.00576	-0.018709	0.021543	-0.022035	0.045227	-1.452618	-0.788721	-0.416337	1.120699	0.464046
cell_000286	donor_021	0.633910	0.002993	0.340210	0.19311	M	1.995509	0.00124	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.638524	-0.025775	0.822849	-0.873519	-0.732706
cell_000287	donor_021	0.670079	-0.374841	0.756248	0.19311	M	1.48798	0.02833	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.407591	-0.279147	-0.013846	-0.164135	1.25345
cell_000288	donor_021	0.378843	-1.234813	1.442305	0.19311	M	2.433744	0.02354	-0.00576	-0.018709	0.021543	-0.022035	0.045227	1.305553	-0.626166	-1.759869	-0.711497	-0.89696
cell_000289	donor_021	-0.500745	-1.655095	-1.045044	0.19311	M	1.942072	0.04419	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.831748	0.920497	-1.031074	-0.754505	-1.479011
cell_000290	donor_021	-1.021045	0.052173	-0.273851	0.19311	M	2.991654	0.04812	-0.00576	-0.018709	0.021543	-0.022035	0.045227	0.134379	-0.044916	0.789122	0.497131	0.610203
cell_000291	donor_022	-0.336832	0.619702	0.339875	-0.354295	M	1.530572	0.0453	-0.012264	0.03441	-0.003689	0.031615	-0.014697	-1.542002	-0.626326	0.948897	-0.538576	-1.627566
cell_000292	donor_022	0.316048	0.409828	0.616135	-0.354295	M	2.635946	0.04977	-0.012264	0.03441	-0.003689	0.031615	-0.014697	0.80799	-0.577265	1.062637	-0.018415	-0.277219
cell_000293	donor_022	-2.107953	-0.364438	-2.180210	-0.354295	M	2.556538	0.06607	-0.012264	0.03441	-0.003689	0.031615	-0.014697	1.363191	-1.302656	1.434221	-0.639356	0.16237
cell_000294	donor_022	0.036060	-0.004633	1.045532	-0.354295	M	1.835326	0.0378	-0.012264	0.03441	-0.003689	0.031615	-0.014697	0.17182	-0.42712	-0.762113	-0.369822	-1.014563
cell_000295	donor_022	1.187634	0.202775	-0.500361	-0.354295	M	1.841976	0.05198	-0.012264	0.03441	-0.003689	0.031615	-0.014697	1.961961	-0.481131	1.158947	1.027173	0.36293
cell_000296	donor_022	0.485161	-0.527918	-0.001393	-0.354295	M	1.631481	0.03988	-0.012264	0.03441	-0.003689	0.031615	-0.014697	-0.135679	0.193782	0.57217	0.100468	-1.566749
cell_000297	donor_022	0.986136	-0.557771	0.805679	-0.354295	M	1.636071	0.008	-0.012264	0.03441	-0.003689	0.031615	-0.014697	-1.818311	1.508988	-2.634714	0.195685	-0.234978
cell_000298	donor_022	0.677401	-0.954792	0.973894	-0.354295	M	1.999758	0.02691	-0.012264	0.03441	-0.003689	0.031615	-0.014697	0.160801	-1.139967	0.350677	0.206016	2.761012
cell_000299	donor_022	0.698566	0.101926	-0.762323	-0.354295	M	2.008278	0.01265	-0.012264	0.03441	-0.003689	0.031615	-0.014697	0.12998	1.348235	-1.498686	1.020095	0.226273
cell_000300	donor_022	-0.859206	-0.537663	0.542594	-0.354295	M	1.359058	0.03463	-0.012264	0.03441	-0.003689	0.031615	-0.014697	0.269739	0.283569	1.706338	0.255104	-0.784122
cell_000301	donor_022	-0.955625	0.437512	-1.241756	-0.354295	M	2.917402	0.01418	-0.012264	0.03441	-0.003689	0.031615	-0.014697	-0.615938	0.817127	0.447455	-1.530474	0.514642
cell_000302	donor_022	-0.204069	0.109648	2.445130	-0.354295	M	1.896193	0.04211	-0.012264	0.03441	-0.003689	0.031615	-0.014697	-1.082342	0.438258	-0.805554	-0.281482	-0.544808
cell_000303	donor_023	-1.377316	1.472015	0.149842	0.587961	M	2.026245	0.04962	0.000377	0.016095	0.013242	0.022015	-0.009749	1.518913	0.401848	1.261113	2.895213	0.046805
cell_000304	donor_023	0.411172	0.118348	0.444727	0.587961	M	1.749505	0.05407	0.000377	0.016095	0.013242	0.022015	-0.009749	1.50199	-0.699456	1.254878	-0.807509	-0.018415
cell_000305	donor_023	-0.153685	1.454050	-0.456471	0.587961	M	1.893196	0.06239	0.000377	0.016095	0.013242	0.022015	-0.009749	0.536878	0.694231	-1.272552	-0.867022	0.61145
cell_000306	donor_023	1.132235	-0.644367	-0.060252	0.587961	M	1.856849	0.00352	0.000377	0.016095	0.013242	0.022015	-0.009749	-0.367717	-1.397349	-0.070977	-0.118972	0.176915
cell_000307	donor_023	-1.071963	0.455024	1.445126	0.587961	M	1.998828	0.00602	0.000377	0.016095	0.013242	0.022015	-0.009749	0.529241	0.465651	-0.768173	-0.410828	0.927789
cell_000308	donor_023	-0.077356	-0.196886	-1.114617	0.587961	M	1.994164	0.08856	0.000377	0.016095	0.013242	0.022015	-0.009749	-0.543185	-0.395092	-1.504269	-0.02868	0.34527
cell_000309	donor_023	-0.229293	-1.592794	-0.912878	0.587961	M	2.321947	0.05019	0.000377	0.016095	0.013242	0.022015	-0.009749	-1.975493	-1.07025	-1.421728	0.788352	-1.912351
cell_000310	donor_023	0.226786	1.319013	2.809211	0.587961	M	2.090888	0.03449	0.000377	0.016095	0.013242	0.022015	-0.009749	-0.078685	0.717862	0.187822	-0.439959	0.346468
cell_000311	donor_023	-0.586585	1.435300	0.243752	0.587961	M	2.281713	0.03064	0.000377	0.016095	0.013242	0.022015	-0.009749	1.036973	-0.107612	-2.238937	1.147733	0.400265
cell_000312	donor_023	-0.151248	0.432594	0.061916	0.587961	M	1.996076	0.02886	0.000377	0.016095	0.013242	0.022015	-0.009749	-0.033076	-1.980372	-0.298309	-0.875477	-1.216279
cell_000313	donor_023	0.110396	-0.408333	-1.398110	0.587961	M	2.092501	0.00867	0.000377	0.016095	0.013242	0.022015	-0.009749	-0.136449	-0.535967	-0.470099	0.739626	0.255572
cell_000314	donor_024	-1.543625	0.653245	-0.276700	-0.781588	M	1.903478	0.01455	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.495515	-0.622381	-0.454859	-0.247444	0.58405
cell_000315	donor_024	-0.596089	0.008506	0.794932	-0.781588	M	2.401245	0.02776	0.001696	0.024968	-0.014105	0.011451	-0.004383	-1.04256	1.458439	0.584772	-2.737928	0.085349
cell_000316	donor_024	0.180364	-0.656055	1.226293	-0.781588	M	2.129049	0.01568	0.001696	0.024968	-0.014105	0.011451	-0.004383	1.040737	0.388706	-0.412341	-0.061092	0.17832
cell_000317	donor_024	1.579186	0.494557	0.973664	-0.781588	M	1.93677	0.0183	0.001696	0.024968	-0.014105	0.011451	-0.004383	0.769588	-1.415095	-0.605018	1.638578	0.032947
cell_000318	donor_024	1.241960	1.130099	0.614099	-0.781588	M	1.924836	0.08117	0.001696	0.024968	-0.014105	0.011451	-0.004383	1.527902	2.985593	-0.492035	-1.197281	-0.265531
cell_000319	donor_024	0.598347	0.519661	-1.097338	-0.781588	M	1.956304	0.02497	0.001696	0.024968	-0.014105	0.011451	-0.004383	1.098993	1.238896	2.271977	-0.036806	0.488057
cell_000320	donor_024	0.700723	-1.355814	-0.794599	-0.781588	M	2.012178	0.03556	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.71177	-2.506985	-0.039653	-1.153754	0.643357
cell_000321	donor_024	1.303565	0.840220	1.487398	-0.781588	M	1.977456	0.03485	0.001696	0.024968	-0.014105	0.011451	-0.004383	-1.881393	-0.739333	0.267679	0.372362	-0.047439
cell_000322	donor_024	-0.271674	-1.152249	-0.240437	-0.781588	M	1.776463	0.04179	0.001696	0.024968	-0.014105	0.011451	-0.004383	1.867345	1.569464	-0.684327	1.60941	1.762201
cell_000323	donor_024	0.102031	0.078989	1.133680	-0.781588	M	2.30596	0.02045	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.123902	0.045403	-0.050722	-0.644999	-0.545668
cell_000324	donor_024	-0.361270	0.352034	-0.988627	-0.781588	M	2.33123	0.05494	0.001696	0.024968	-0.014105	0.011451	-0.004383	1.319323	0.437376	-0.55419	-0.925996	-0.75811
cell_000325	donor_024	0.450317	0.003109	-0.749813	-0.781588	M	2.713543	0.03887	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.163855	0.91317	-0.860081	0.901703	0.196957
cell_000326	donor_024	-0.235829	-0.184176	-0.270155	-0.781588	M	1.758548	0.00426	0.001696	0.024968	-0.014105	0.011451	-0.004383	0.142842	1.025796	0.843359	-1.404518	-1.084014
cell_000327	donor_024	1.771341	-0.098446	-0.243896	-0.781588	M	2.266575	0.02785	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.229516	0.355973	1.364576	0.065068	1.703696
cell_000328	donor_024	-2.097451	-0.894207	-0.263073	-0.781588	M	1.236345	0.02656	0.001696	0.024968	-0.014105	0.011451	-0.004383	-0.706676	-0.537579	-0.305683	-0.817228	1.159404
cell_000329	donor_024	-0.685853	1.381708	-0.164938	-0.781588	M	2.331617	0.02564	0.001696	0.024968	-0.014105	0.011451	-0.004383	-2.769831	-0.503569	1.148207	-0.312318	1.072886
cell_000330	donor_024	1.288444	0.061705	0.037228	-0.781588	M	1.417367	0.04019	0.001696	0.024968	-0.014105	0.011451	-0.004383	2.197684	0.080385	1.168934	2.419138	0.402091
cell_000331	donor_025	-0.088796	0.003796	1.718795	1.927398	F	1.606268	0.04269	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.048063	0.902465	1.184217	-0.038815	-0.483844
cell_000332	donor_025	-2.319611	-2.001546	-0.543171	1.927398	F	2.13289	0.04033	0.004117	0.001691	-0.015766	-0.005214	0.002899	1.717395	-0.270614	1.193729	0.262867	1.826965
cell_000333	donor_025	0.014528	0.690104	0.473087	1.927398	F	1.7514	0.03678	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.849046	-0.85098	0.854486	-1.130339	0.116628
cell_000334	donor_025	-0.384246	1.019044	1.030195	1.927398	F	1.696659	0.03171	0.004117	0.001691	-0.015766	-0.005214	0.002899	1.548409	-1.784832	0.402139	1.211745	-0.025908
cell_000335	donor_025	0.184058	0.962658	0.272645	1.927398	F	1.806074	0.01302	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.927093	-0.262608	-0.83852	0.069158	-0.276706
cell_000336	donor_025	-0.561483	0.697817	0.110613	1.927398	F	2.29185	0.04556	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.513261	0.466147	1.579116	0.327821	1.343666
cell_000337	donor_025	0.001340	1.472954	-2.450872	1.927398	F	1.626844	0.03977	0.004117	0.001691	-0.015766	-0.005214	0.002899	1.578825	-0.58664	0.274859	-0.424948	-1.482164
cell_000338	donor_025	-1.417684	-1.187070	-0.363261	1.927398	F	1.978338	0.0103	0.004117	0.001691	-0.015766	-0.005214	0.002899	0.355761	-1.05215	0.484303	-1.555878	0.170993
cell_000339	donor_025	-0.254608	-1.507326	-0.985158	1.927398	F	1.848537	0.03561	0.004117	0.001691	-0.015766	-0.005214	0.002899	-1.570733	0.673865	-0.39338	-0.489793	1.126505
cell_000340	donor_025	-0.860842	2.457424	1.801742	1.927398	F	2.327956	0.04296	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.32157	0.110853	-0.198616	0.507392	1.042945
cell_000341	donor_025	-0.411749	-0.363583	-1.149204	1.927398	F	2.339169	0.05342	0.004117	0.001691	-0.015766	-0.005214	0.002899	0.835635	-0.466669	1.209047	-0.916351	-0.742482
cell_000342	donor_025	-1.908130	-0.116880	-0.997852	1.927398	F	1.265887	0.04021	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.127801	1.0468	-1.170151	0.891484	-0.054747
cell_000343	donor_025	-0.084851	-1.600206	-0.761974	1.927398	F	2.418044	0.03643	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.433734	1.097806	-0.802671	2.285676	-0.176642
cell_000344	donor_025	0.148627	0.366210	0.417472	1.927398	F	1.755698	0.04894	0.004117	0.001691	-0.015766	-0.005214	0.002899	0.149842	1.542905	0.17593	1.188869	-1.953158
cell_000345	donor_025	-1.320489	0.854686	-0.800212	1.927398	F	2.094517	0.02387	0.004117	0.001691	-0.015766	-0.005214	0.002899	-0.442597	0.396734	1.081419	0.769697	0.676032
cell_000346	donor_025	0.632858	-0.010639	-1.376387	1.927398	F	1.624437	0.03824	0.004117	0.001691	-0.015766	-0.005214	0.002899	1.061058	0.47502	-2.143184	1.442203	-0.837665
cell_000347	donor_026	-0.316198	0.365364	0.612965	-1.690612	M	2.148454	0.01758	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.313625	0.181005	0.047328	-1.106041	-1.938693
cell_000348	donor_026	-0.140988	1.531779	1.007511	-1.690612	M	3.02054	0.05221	-0.002054	0.031455	0.020199	0.0058	-0.015263	-1.002379	0.826238	-1.446622	-0.880281	0.418047
cell_000349	donor_026	-0.256654	0.750122	1.933793	-1.690612	M	2.050866	0.00219	-0.002054	0.031455	0.020199	0.0058	-0.015263	-1.027425	-0.543048	0.081822	0.282643	-1.047226
cell_000350	donor_026	1.960485	-1.228000	-0.926533	-1.690612	M	1.816061	0.04633	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.140943	0.398855	-1.273201	0.214843	-0.716583
cell_000351	donor_026	1.484919	-1.058281	-1.322541	-1.690612	M	1.907136	0.03035	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.123915	0.723079	-0.176259	0.913415	0.790814
cell_000352	donor_026	-0.486194	0.420227	-0.102397	-1.690612	M	1.412388	0.04931	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.90783	0.40311	1.100767	0.385095	-1.66726
cell_000353	donor_026	-0.650564	-0.674212	-0.712337	-1.690612	M	2.579585	0.01439	-0.002054	0.031455	0.020199	0.0058	-0.015263	-0.792071	-0.211257	-0.087223	0.357739	-0.806952
cell_000354	donor_026	-0.879510	2.281633	0.297511	-1.690612	M	2.125153	0.0318	-0.002054	0.031455	0.020199	0.0058	-0.015263	2.008709	-0.102458	-0.007688	-0.670749	-1.003377
cell_000355	donor_026	0.886759	-0.489077	-0.185957	-1.690612	M	1.580441	0.03121	-0.002054	0.031455	0.020199	0.0058	-0.015263	-0.126303	0.027551	-0.086904	1.655156	-0.126309
cell_000356	donor_026	-0.713554	-2.651708	-1.378009	-1.690612	M	1.593473	0.03868	-0.002054	0.031455	0.020199	0.0058	-0.015263	-0.085929	0.815295	-0.171066	0.539339	-1.279045
cell_000357	donor_026	-1.810619	-2.249784	-1.195359	-1.690612	M	2.006113	0.00905	-0.002054	0.031455	0.020199	0.0058	-0.015263	-1.271145	0.122059	-0.231618	-0.809025	0.121852
cell_000358	donor_026	1.324956	-0.044436	1.290564	-1.690612	M	2.372798	0.04272	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.2091	-0.709897	-0.518796	0.216617	-1.021078
cell_000359	donor_026	0.410983	0.782559	-0.900897	-1.690612	M	1.539604	0.00692	-0.002054	0.031455	0.020199	0.0058	-0.015263	-0.604033	0.533935	-0.023836	-0.477203	-0.903069
cell_000360	donor_026	0.523951	0.728714	-0.576647	-1.690612	M	2.445364	0.01664	-0.002054	0.031455	0.020199	0.0058	-0.015263	-1.013211	-0.131755	2.025813	0.565787	-1.332864
cell_000361	donor_026	0.559540	0.566188	-0.549553	-1.690612	M	1.963347	0.00125	-0.002054	0.031455	0.020199	0.0058	-0.015263	0.707216	-0.758887	-0.004857	-0.588861	2.022755
cell_000362	donor_027	-1.122768	-1.184128	0.086506	1.71548	M	1.627903	0.04656	-0.01648	0.039476	-0.020198	0.002277	0.007219	-1.134108	0.313612	-0.685324	0.738828	0.293454
cell_000363	donor_027	0.327010	-0.792526	0.026585	1.71548	M	1.812924	0.038	-0.01648	0.039476	-0.020198	0.002277	0.007219	1.254553	0.718118	-0.693534	2.916203	0.555426
cell_000364	donor_027	0.570537	0.618191	1.551880	1.71548	M	2.699422	0.03912	-0.01648	0.039476	-0.020198	0.002277	0.007219	-0.550662	0.20554	0.630834	0.592794	0.496028
cell_000365	donor_027	1.276981	-1.001291	1.683586	1.71548	M	1.444715	0.05946	-0.01648	0.039476	-0.020198	0.002277	0.007219	0.966482	0.868171	-0.847566	2.108054	1.968888
cell_000366	donor_027	-0.530977	1.044873	0.067987	1.71548	M	1.707243	0.02368	-0.01648	0.039476	-0.020198	0.002277	0.007219	0.800965	0.038697	0.055886	-0.323764	-0.194384
cell_000367	donor_027	-0.412149	-1.807697	-0.171565	1.71548	M	2.381033	0.04219	-0.01648	0.039476	-0.020198	0.002277	0.007219	-2.186784	1.530263	1.177454	-1.676687	0.889988
cell_000368	donor_027	-1.559383	0.967299	1.516793	1.71548	M	2.086583	0.03132	-0.01648	0.039476	-0.020198	0.002277	0.007219	-0.007715	-0.199046	0.492842	-1.742787	-0.011249
cell_000369	donor_027	-0.796911	0.301971	-0.725392	1.71548	M	1.683504	0.02828	-0.01648	0.039476	-0.020198	0.002277	0.007219	0.079481	0.080449	-1.367489	0.446916	1.059815
cell_000370	donor_027	-0.628485	0.774495	-0.038538	1.71548	M	2.385917	0.05613	-0.01648	0.039476	-0.020198	0.002277	0.007219	0.407331	-0.229188	2.689041	-0.924575	0.773451
cell_000371	donor_027	1.739648	-0.482232	0.999336	1.71548	M	2.404918	0.07164	-0.01648	0.039476	-0.020198	0.002277	0.007219	0.243274	2.012313	0.38675	0.601155	0.505717
cell_000372	donor_027	0.097413	0.795778	-0.447158	1.71548	M	2.132556	0.02137	-0.01648	0.039476	-0.020198	0.002277	0.007219	-1.058323	-0.86888	-0.275668	0.957383	0.233097
cell_000373	donor_027	-0.049559	-0.115499	-0.836057	1.71548	M	1.755041	0.04667	-0.01648	0.039476	-0.020198	0.002277	0.007219	-0.206735	1.3722	-1.98243	-1.29582	-2.4966
cell_000374	donor_027	0.662082	0.650249	0.593555	1.71548	M	1.816678	0.03638	-0.01648	0.039476	-0.020198	0.002277	0.007219	1.208311	-0.096726	0.966292	-0.109258	1.023184
cell_000375	donor_028	1.536966	1.449345	-0.374945	0.089988	M	2.11387	0.03662	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-0.126752	0.409911	0.263513	0.337707	1.684737
cell_000376	donor_028	0.373052	-0.623601	0.023355	0.089988	M	1.475228	0.03494	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-1.624425	-0.068383	0.197987	0.048287	-0.397885
cell_000377	donor_028	-0.599749	1.620070	0.363698	0.089988	M	2.531114	0.02334	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-0.534716	1.530015	-0.070721	2.437947	0.528275
cell_000378	donor_028	-0.218029	1.193619	-2.170615	0.089988	M	2.680084	0.0417	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-0.289656	0.552679	0.108933	1.341999	-1.167722
cell_000379	donor_028	-2.014103	0.795839	0.060468	0.089988	M	1.905618	0.0607	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-1.801186	0.360981	0.835696	0.285905	0.672475
cell_000380	donor_028	0.250446	-1.326396	-0.023234	0.089988	M	2.142442	0.01611	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.525437	-1.4804	0.28124	1.316781	0.171767
cell_000381	donor_028	2.003509	0.824200	0.169707	0.089988	M	2.474321	0.02517	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-1.309958	-0.333857	0.556757	1.79563	-1.956346
cell_000382	donor_028	-0.439054	-0.394573	-2.129198	0.089988	M	2.782224	0.02559	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.361232	-0.932208	0.507727	0.587831	-0.233147
cell_000383	donor_028	0.257640	0.845483	-1.575619	0.089988	M	2.622793	0.01432	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.631599	1.139896	-0.164572	-1.33716	1.425573
cell_000384	donor_028	-0.661417	-1.157465	-0.965351	0.089988	M	1.305785	0.0348	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.828695	0.563756	-0.690967	0.985436	2.042426
cell_000385	donor_028	0.053482	-2.084402	0.614270	0.089988	M	1.873779	0.02911	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-0.12131	0.094493	-1.065191	-0.719542	-1.074569
cell_000386	donor_028	0.753855	-0.251103	-2.480709	0.089988	M	2.200275	0.01567	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.130823	-0.340779	0.3728	-0.891901	-0.167557
cell_000387	donor_028	-0.996419	1.232902	-2.777994	0.089988	M	1.802313	0.03299	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-0.953536	0.187572	-1.632324	0.151578	-0.27873
cell_000388	donor_028	-0.347523	-1.180001	0.804570	0.089988	M	2.713107	0.02934	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.180964	-1.652267	0.654716	-0.298743	0.217113
cell_000389	donor_028	-0.675114	0.403954	0.565460	0.089988	M	2.65175	0.04856	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	-1.870074	-1.242733	-0.390154	1.3755	0.527271
cell_000390	donor_028	1.836226	-0.202942	0.376044	0.089988	M	1.673628	0.00319	-0.006226	-0.020044	-0.015698	-0.01093	-0.01419	0.129875	-0.924308	-1.106265	0.276655	0.700689
cell_000391	donor_029	-1.485055	1.190414	-0.760509	0.552425	M	1.93504	0.01389	0.026554	-0.000183	-0.010476	0.002139	0.013359	0.208974	1.709557	-0.682462	0.17937	-1.693175
cell_000392	donor_029	-0.560754	-0.022248	-1.562884	0.552425	M	1.700178	0.04451	0.026554	-0.000183	-0.010476	0.002139	0.013359	0.211046	1.469373	-1.041509	0.842132	1.44104
cell_000393	donor_029	0.228770	0.967466	0.292934	0.552425	M	1.921949	0.01721	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.689713	0.46694	1.579632	0.230475	0.786715
cell_000394	donor_029	-1.588898	-0.123809	0.742029	0.552425	M	1.909827	0.01193	0.026554	-0.000183	-0.010476	0.002139	0.013359	-1.773949	0.597137	0.517238	-1.326212	-0.964329
cell_000395	donor_029	-1.877989	-1.074766	0.876544	0.552425	M	2.381703	0.01819	0.026554	-0.000183	-0.010476	0.002139	0.013359	0.604002	-0.302712	1.111938	0.310727	0.056456
cell_000396	donor_029	0.270095	0.411972	1.859495	0.552425	M	1.644614	0.02798	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.170449	0.292682	0.802932	0.533851	-0.423009
cell_000397	donor_029	0.468553	0.657888	2.710746	0.552425	M	0.9533	0.02806	0.026554	-0.000183	-0.010476	0.002139	0.013359	1.239437	0.657694	0.385234	0.091697	0.50005
cell_000398	donor_029	-0.213805	-0.797883	0.427796	0.552425	M	1.358183	0.0258	0.026554	-0.000183	-0.010476	0.002139	0.013359	-1.831679	0.241309	1.640183	0.219987	0.083477
cell_000399	donor_029	0.438991	-0.526715	-1.032397	0.552425	M	1.588679	0.00943	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.595884	0.492727	-0.195074	1.3093	-0.86362
cell_000400	donor_029	2.309844	0.326843	-0.732285	0.552425	M	1.737723	0.04546	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.452305	-0.600878	1.834579	-0.189766	-0.548077
cell_000401	donor_029	0.915930	-0.109145	-0.252881	0.552425	M	2.07487	0.05652	0.026554	-0.000183	-0.010476	0.002139	0.013359	-2.090595	-0.911372	0.527885	0.523876	-0.651203
cell_000402	donor_029	0.562273	-1.291882	0.352627	0.552425	M	1.568082	0.00821	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.595656	1.859871	2.69638	1.149773	1.55928
cell_000403	donor_029	1.912955	0.466178	-0.376212	0.552425	M	1.51556	0.00107	0.026554	-0.000183	-0.010476	0.002139	0.013359	1.771425	2.214572	-0.301928	-0.878268	1.83349
cell_000404	donor_029	-0.507105	-0.410340	-0.253963	0.552425	M	1.628221	0.05006	0.026554	-0.000183	-0.010476	0.002139	0.013359	-0.964294	-1.028596	-1.005635	-0.131396	-1.984376
cell_000405	donor_030	-0.377807	0.916311	-1.733209	1.334525	M	1.553738	0.0614	-0.006892	0.01804	-0.025423	0.023426	-0.000179	-1.433109	-0.622339	-1.195925	1.062412	0.006648
cell_000406	donor_030	0.862000	-0.379687	0.376948	1.334525	M	1.778203	0.01258	-0.006892	0.01804	-0.025423	0.023426	-0.000179	0.577022	0.46753	-0.206773	0.988132	0.452148
cell_000407	donor_030	-1.126988	1.328631	1.245635	1.334525	M	1.761085	0.04631	-0.006892	0.01804	-0.025423	0.023426	-0.000179	-0.3184	-1.68391	0.520658	-1.261303	0.380283
cell_000408	donor_030	0.959591	-1.514755	0.829121	1.334525	M	2.275623	0.06276	-0.006892	0.01804	-0.025423	0.023426	-0.000179	0.078889	-1.360369	0.258397	0.191319	0.194948
cell_000409	donor_030	0.404855	-1.605271	-0.024297	1.334525	M	1.604188	0.01275	-0.006892	0.01804	-0.025423	0.023426	-0.000179	0.146997	-0.652388	0.591609	-0.687656	-1.074591
cell_000410	donor_030	0.364534	0.556075	0.177261	1.334525	M	1.856961	0.06159	-0.006892	0.01804	-0.025423	0.023426	-0.000179	0.674634	0.936431	0.606198	-0.207195	-1.939466
cell_000411	donor_030	0.291231	1.473611	1.226034	1.334525	M	1.781991	0.02644	-0.006892	0.01804	-0.025423	0.023426	-0.000179	1.48169	-1.955097	0.586061	2.110237	0.149466
cell_000412	donor_030	-2.867055	-0.317439	-0.164651	1.334525	M	2.323554	0.03629	-0.006892	0.01804	-0.025423	0.023426	-0.000179	0.291233	0.379321	0.198167	2.350613	-0.843165
cell_000413	donor_030	-1.752099	0.094183	1.248758	1.334525	M	1.938288	0.01562	-0.006892	0.01804	-0.025423	0.023426	-0.000179	-0.968727	-0.327501	1.740832	-0.576877	0.430298
